"-99","Fatura Agilize","2017-09-20 23:59:59","2017","9","Contabilidade"
"-1136.42","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-139","Fatura Agilize","2018-01-22 23:59:59","2018","1","Contabilidade"
"-1654.11","IRPJ","2017-07-31 23:59:59",NULL,NULL,"IRPJ"
"-99","Fatura Agilize","2017-09-05 23:59:59","2017","9","Contabilidade"
"-199.16","TFF","2017-11-30 23:59:59","2017","11","Taxa de fiscalização municipal"
"-2397.9","IRPJ","2018-01-31 23:59:59","2018","1","IRPJ"
"-388.88","COFINS","2017-09-25 23:59:59","2017","9","COFINS"
"-103.07","INSS","2017-11-20 23:59:59","2017","11","INSS"
"-99","Fatura Agilize","2017-12-05 23:59:59","2017","12","Contabilidade"
"-2213.11","CSLL","2018-01-31 23:59:59","2018","1","CSLL"
"-198","INSS","2017-10-20 23:59:59","2017","10","INSS"
"-913.33","DAS","2017-08-21 23:59:59","2017","8","Simples Nacional"
"-99","Fatura Agilize","2017-11-06 23:59:59","2017","11","Contabilidade"
"-99","Fatura Agilize","2017-09-28 23:59:59","2017","9","Contabilidade"
"-109","Fatura Agilize","2017-10-20 23:59:59","2017","10","Contabilidade"
"-99","Fatura Agilize","2018-01-13 23:59:59","2018","1","Contabilidade"
"-149","Fatura Agilize","2017-12-11 23:59:59","2017","12","Contabilidade"
"-58.05","COFINS","2018-02-23 23:59:59","2018","2","COFINS"
"-149","Fatura Agilize","2017-08-15 23:59:59","2017","8","Contabilidade"
"-290.47","INSS","2018-01-19 23:59:59","2018","1","INSS"
"-34.85","CSLL","2018-04-30 23:59:59","2018","4","CSLL"
"-489.6","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-45.18","PIS","2017-11-30 23:59:59","2017","11","PIS"
"-217.8","DAS","2017-11-20 23:59:59","2017","11","Simples Nacional"
"-49","Fatura Agilize","2017-06-12 23:59:59","2017","5","Contabilidade"
"-99","Fatura Agilize","2017-09-11 23:59:59","2017","9","Contabilidade"
"-162.94","ISSrio_de_janeiro","2017-11-10 23:59:59","2017","11","ISS"
"-198","INSS","2017-12-20 23:59:59","2017","12","INSS"
"-99","Fatura Agilize","2017-12-11 23:59:59","2017","12","Contabilidade"
"-149","Fatura Agilize","2017-12-05 23:59:59","2017","12","Contabilidade"
"-1809.98","DAS","2017-09-25 23:59:59","2017","9","Simples Nacional"
"-99","Fatura Agilize","2018-01-05 23:59:59","2018","1","Contabilidade"
"-56.99","Tim","2017-11-21 17:03:14","2017","11","Telefone e internet"
"-7319.61","DAS","2018-02-20 23:59:59","2018","2","Simples Nacional"
"-99","Fatura Agilize","2017-11-06 23:59:59","2017","11","Contabilidade"
"-3405.7","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-2639.09","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-119","Fatura Agilize","2017-12-15 23:59:59","2017","12","Contabilidade"
"-99","Fatura Agilize","2018-01-15 23:59:59","2018","1","Contabilidade"
"-99","Fatura Agilize","2018-01-22 23:59:59","2018","1","Contabilidade"
"-1551.35","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-99","Fatura Agilize","2018-01-15 23:59:59","2018","1","Contabilidade"
"-413.37","DAS","2018-01-10 23:59:59","2017","12","Simples Nacional"
"-459.76","ISSsao_paulo","2017-12-11 23:59:59","2017","12","ISS"
"-306.68","CSLL","2017-10-31 23:59:59","2017","10","CSLL"
"-1216.88","INSS","2017-08-18 23:59:59","2017","8","INSS"
"-194.06","TFE","2018-01-31 23:59:59","2017","12","Taxa de fiscalização municipal"
"-103.07","INSS","2017-11-20 23:59:59","2017","11","INSS"
"-290.47","INSS","2017-11-20 23:59:59","2017","11","INSS"
"-103.07","INSS","2017-08-18 23:59:59","2017","8","INSS"
"-99","Fatura Agilize","2018-01-10 23:59:59","2018","1","Contabilidade"
"-740.15","DAS","2017-08-21 23:59:59","2017","8","Simples Nacional"
"-149","Fatura Agilize","2018-01-22 23:59:59","2018","1","Contabilidade"
"-57","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-149","Fatura Agilize","2017-08-25 23:59:59","2017","8","Contabilidade"
"-242","Fatura Agilize","2017-11-10 23:59:59","2017","11","Contabilidade"
"-149","Fatura Agilize","2017-02-15 23:59:59","2017","2","Contabilidade"
"-167.73","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-206.14","INSS","2017-10-20 23:59:59","2017","10","INSS"
"-99","Fatura Agilize","2017-08-15 23:59:59","2017","8","Contabilidade"
"-423.25","DAS","2018-01-10 23:59:59","2017","11","Simples Nacional"
"-4080.52","DAS","2017-08-21 23:59:59","2017","8","Simples Nacional"
"-8.32","PIS","2017-10-25 23:59:59","2017","10","PIS"
"-99","Fatura Agilize","2017-08-15 23:59:59","2017","8","Contabilidade"
"-99","Fatura Agilize","2017-10-20 23:59:59","2017","10","Contabilidade"
"-109","Fatura Agilize","2017-08-15 23:59:59","2017","8","Contabilidade"
"-199","Fatura Agilize","2017-11-20 23:59:59","2017","11","Contabilidade"
"-446.04","IRPJ","2018-01-31 23:59:59","2018","1","IRPJ"
"-20.29","PIS","2017-08-25 23:59:59","2017","8","PIS"
"-2604","DAS","2018-02-20 23:59:59","2018","2","Simples Nacional"
"-99","Fatura Agilize","2017-10-05 23:59:59","2017","10","Contabilidade"
"-411.82","ISSsalvador","2018-01-12 23:59:59","2017","12","ISS"
"-99","Fatura Agilize","2017-08-07 23:59:59","2017","8","Contabilidade"
"-103.07","INSS","2017-12-20 23:59:59","2017","12","INSS"
"-149","Fatura Agilize","2017-12-20 23:59:59","2017","12","Contabilidade"
"-434.4","DAS","2018-01-22 23:59:59","2018","1","Simples Nacional"
"-5011.95","DAS","2018-01-22 23:59:59","2018","1","Simples Nacional"
"-99","Fatura Agilize","2017-10-10 23:59:59","2017","10","Contabilidade"
"-387.15","DAS","2017-11-20 23:59:59","2017","11","Simples Nacional"
"-225.16","ISSsalvador","2017-09-05 23:59:59","2017","9","ISS"
"-229.02","DAS","2018-02-20 23:59:59","2018","2","Simples Nacional"
"-103.07","INSS","2017-11-10 23:59:59","2017","10","INSS"
"-99","Fatura Agilize","2017-10-05 23:59:59","2017","10","Contabilidade"
"-149","Fatura Agilize","2017-08-10 23:59:59","2017","8","Contabilidade"
"-206.14","INSS","2018-01-19 23:59:59","2018","1","INSS"
"-1200","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-51.06","DAS","2017-11-20 23:59:59","2017","11","Simples Nacional"
"-149","Fatura Agilize","2017-09-05 23:59:59","2017","9","Contabilidade"
"-727.2","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-99","Fatura Agilize","2017-12-20 23:59:59","2017","12","Contabilidade"
"-99","Fatura Agilize","2017-09-25 23:59:59","2017","9","Contabilidade"
"-510.03","DAS","2017-10-20 23:59:59","2017","10","Simples Nacional"
"-109","Fatura Agilize","2017-12-26 23:59:59","2017","12","Contabilidade"
"-131.52","DAS","2017-10-30 23:59:59","2017","10","Simples Nacional"
"-240","DAS","2017-10-23 23:59:59","2017","10","Simples Nacional"
"-1454.46","DAS","2017-11-20 23:59:59","2017","11","Simples Nacional"
"-218.27","ISSsalvador","2017-09-05 23:59:59","2017","9","ISS"
"-99","Fatura Agilize","2017-12-28 23:59:59","2017","12","Contabilidade"
"-149","Fatura Agilize","2017-09-11 23:59:59","2017","9","Contabilidade"
"-140","DAS","2017-09-20 23:59:59","2017","9","Simples Nacional"
"-99","Fatura Agilize","2018-01-15 23:59:59","2018","1","Contabilidade"
"-239","Fatura Agilize","2017-09-28 23:59:59","2017","9","Contabilidade"
"-99","Fatura Agilize","2017-09-20 23:59:59","2017","9","Contabilidade"
"-149","Fatura Agilize","2017-08-21 23:59:59","2017","8","Contabilidade"
"-99","Fatura Agilize","2017-10-05 23:59:59","2017","10","Contabilidade"
"-109","Fatura Agilize","2017-09-05 23:59:59","2017","9","Contabilidade"
"-1716","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-580.94","INSS","2017-11-20 23:59:59","2017","11","INSS"
"-99","Fatura Agilize","2017-11-20 23:59:59","2017","11","Contabilidade"
"-24.34","COFINS","2017-12-22 23:59:59","2017","12","COFINS"
"-103.07","INSS","2017-09-20 23:59:59","2017","9","INSS"
"-264","COFINS","2018-02-23 23:59:59","2018","2","COFINS"
"-103.07","INSS","2017-12-20 23:59:59","2017","12","INSS"
"-99","Fatura Agilize","2017-06-26 23:59:59","2017","5","Contabilidade"
"-49.01","PIS","2017-10-25 23:59:59","2017","10","PIS"
"-340.2","DAS","2017-12-20 23:59:59","2017","12","Simples Nacional"
"-99","Fatura Agilize","2017-09-25 23:59:59","2017","9","Contabilidade"
"-99","Fatura Agilize","2017-11-10 23:59:59","2017","11","Contabilidade"
"-74.91","DAS","2018-01-22 23:59:59","2018","1","Simples Nacional"
"-343.44","IRPJ","2018-01-31 23:59:59","2018","1","IRPJ"
